dimension,group,n,current_listings,historical_identities,median_excess_cagr,median_excess_martin,beat_spy_cagr,rate_beat_spy_cagr,beat_spy_sortino,rate_beat_spy_sortino,beat_spy_calmar,rate_beat_spy_calmar,beat_spy_martin,rate_beat_spy_martin,beat_spy_rwm_score,rate_beat_spy_rwm_score,beat_spy_cagr_and_rwm,rate_beat_spy_cagr_and_rwm,beat_spy_cagr_and_martin,rate_beat_spy_cagr_and_martin,beat_spy_all_four,rate_beat_spy_all_four
primary_strategy,broad_equity,26,25,1,5.000774086894033e-05,-0.008510792522534838,14,0.5384615384615384,10,0.38461538461538464,12,0.46153846153846156,10,0.38461538461538464,12,0.46153846153846156,12,0.46153846153846156,10,0.38461538461538464,7,0.2692307692307692
primary_strategy,income_and_hybrid_securities,25,25,0,-0.11179783803145327,-1.277030523954022,0,0.0,6,0.24,6,0.24,6,0.24,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,treasury_and_government,25,23,2,-0.12861404575968627,-1.315138074117471,0,0.0,6,0.24,4,0.16,4,0.16,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,other_commodity,24,24,0,-0.05951643165617049,-0.9145291265198334,2,0.08333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,broad_commodities,17,17,0,-0.08860435550443713,-1.2772765786697944,1,0.058823529411764705,1,0.058823529411764705,2,0.11764705882352941,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,options_income_or_overlay,17,17,0,-0.06736345577531266,-0.7768324307266641,0,0.0,0,0.0,1,0.058823529411764705,1,0.058823529411764705,1,0.058823529411764705,0,0.0,0,0.0,0,0.0
primary_strategy,asset_allocation,16,16,0,-0.0767650912795097,-0.9069690841588778,0,0.0,0,0.0,2,0.125,1,0.0625,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,inflation_linked,15,15,0,-0.12016987188957651,-1.4281681513522868,0,0.0,4,0.26666666666666666,3,0.2,1,0.06666666666666667,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,loans_and_clo,14,14,0,-0.11067953111533735,0.1327084277682058,0,0.0,6,0.42857142857142855,3,0.21428571428571427,7,0.5,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,mortgage_and_securitized,14,14,0,-0.12348348616131843,-1.757375555476511,0,0.0,1,0.07142857142857142,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
